Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org\apache\http\impl,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org\apache\http\impl\auth,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org\apache\http\impl\auth\win,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src,564,89811,50096,35324,3968,10917,244,28798,164596,14767,94459
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client,20,2006,1059,824,29,231,0,716,4546,520,3340
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main,425,59608,29155,19910,3665,6544,129,23909,135093,11153,71246
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java,322,42232,20323,14016,2679,4498,81,17411,98682,8470,54037
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated,103,17376,8832,5894,986,2046,48,6498,36411,2683,17209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org,103,17376,8832,5894,986,2046,48,6498,36411,2683,17209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache,103,17376,8832,5894,986,2046,48,6498,36411,2683,17209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http,103,17376,8832,5894,986,2046,48,6498,36411,2683,17209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\auth,2,140,38,26,2,16,0,86,460,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\auth\params,2,140,38,26,2,16,0,86,460,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\client,17,1629,661,471,72,177,6,791,4389,442,2839
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\client\params,4,375,126,87,8,52,0,197,982,104,668
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\client\protocol,6,666,332,234,40,76,3,258,1439,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\client\utils,4,329,159,121,24,24,3,146,839,104,668
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\conn,20,2783,1240,753,120,289,6,1254,7076,520,3340
