Class Name, Line of Code, Line of Comments, RFC, Cohesion, Coupling, Cyclomatic Complexity, Weighted Methods, Depth of Class, Number of children
CFGBranchIfNode.java, 94, 0, 9, 2, 0, [getImmediatelyNestedNodesInTrueControlFlow->8 #getImmediatelyNestedNodesInFalseControlFlow->9 #], 17, 4, 0
CFGBranchLoopNode.java, 49, 0, 8, 2, 0, [getJoinNode->1 #getNestedBasicBlocks->7 #], 8, 3, 0
CFGBranchNode.java, 151, 2, 19, 5, 0, [getTrueControlFlow->3 #getFalseControlFlow->3 #getNestedBasicBlocksToEnd->2 #getJoinNode->1 #getNestedBasicBlocks->1 #getImmediatelyNestedNodesFromAST->10 #processBlockStatement->5 #processLabeledStatement->6 #processTryStatement->3 #], 34, 2, 3
CFGBranchSwitchNode.java, 10, 0, 0, 0, 0, [], 0, 4, 0
CFGBreakNode.java, 33, 0, 4, 2, 0, [getLabel->1 #isLabeled->1 #getInnerMostLoopNode->1 #setInnerMostLoopNode->1 #], 4, 2, 0
CFGContinueNode.java, 33, 0, 4, 2, 0, [getLabel->1 #isLabeled->1 #getInnerMostLoopNode->1 #setInnerMostLoopNode->1 #], 4, 2, 0
CFGExitNode.java, 26, 0, 1, 1, 0, [getReturnedVariable->1 #], 1, 2, 0
CFGNode.java, 113, 0, 21, 7, 0, [getStatement->1 #getASTStatement->1 #isLeader->2 #immediatelyFollowsBranchNode->3 #isFirst->4 #isBranch->2 #isJoin->2 #setBasicBlock->1 #getBasicBlock->1 #getPDGNode->1 #setPDGNode->1 #equals->3 #hashCode->2 #toString->1 #compareTo->3 #], 28, 1, 7
CFGSwitchCaseNode.java, 22, 0, 1, 1, 0, [isDefault->1 #], 1, 2, 0
CFGSynchronizedNode.java, 9, 0, 0, 0, 0, [], 0, 3, 0
CFGThrowNode.java, 11, 0, 0, 0, 0, [], 0, 2, 0
CFGTryNode.java, 38, 0, 7, 4, 0, [hasResources->1 #getHandledExceptions->1 #hasFinallyClauseClosingVariable->1 #hasCatchClause->1 #], 4, 3, 0
CompositeVariable.java, 125, 4, 20, 1, 1, [getRightPart->2 #getLeftPart->3 #getFinalVariable->3 #getInitialVariable->2 #containsPlainVariable->2 #startsWithVariable->3 #getRightPartAfterPrefix->5 #equals->3 #hashCode->2 #toString->1 #], 26, 1, 0
Flow.java, 48, 0, 9, 1, 0, [isLoopbackFlow->1 #setLoopbackFlow->1 #isTrueControlFlow->1 #setTrueControlFlow->1 #isFalseControlFlow->1 #setFalseControlFlow->1 #toString->4 #], 10, 1, 0
Graph.java, 30, 0, 5, 2, 0, [getNodes->1 #getEdges->1 #addNode->1 #addEdge->1 #], 4, 0, 3
GraphEdge.java, 19, 0, 2, 2, 0, [getSrc->1 #getDst->1 #], 2, 0, 2
GraphNode.java, 34, 0, 5, 4, 0, [getId->1 #addIncomingEdge->1 #addOutgoingEdge->1 #resetNodeNum->1 #], 4, 0, 2
BottomUpCDTMapper.java, 295, 6, 39, 1, 6, [processBottomUp->21 #containsSiblingMatch->3 #containsMatch->3 #isSubsumedByCurrentSolutions->3 #getSolutions->1 #findBottomUpMatches->30 #ifStatementsWithEqualElseIfChains->3 #ifStatementWithSingleElseAgainstTernaryOperator->3 #alreadyMapped->3 #], 70, 0, 0
